year,month,Europa Universalis,FIFA,ЖЕЛЕЗНЫЙ ЧЕЛОВЕК,ADELE,Kinect,Alien,Star Wars,Anno,Arma 3,Assassin's Creed,Fallout,Бэтмен,Battlefield,Ben 10,BioShock,Borderlands,Call Of Duty,Grand Theft Auto,King's Bounty,Mass Effect,Max Payne,Resident Evil,Civilization V,Street Fighter,The Elder Scrolls,Ведьмак,Truckers,Binary Domain,Blood Bowl,XCOM,Cities: Skylines,Company of Heroes,Counter Strike,Crew,Final Fantasy,Crysis,DCS,Лана Дель Рей,Dark Souls,Darkness,Darksiders,Dead Island,Dead Rising,Dead Space,Dead or Alive,Deadpool,Destiny,Deus Ex,Devil May Cry,Diablo,Disney,Marvel,Стражи Галактики,Spider-Man,Divinity,Dragon Age,Dragon Ball,Driver,Duke Nukem Forever,Dungeon Siege,EA SPORTS MMA,Euro Truck Simulator,Evil Within,Evolve,F.E.A.R.,F1,Farming Simulator,Football Manager,GRID,Gears Of War,God of War,Gran Turismo,Guitar Hero,Halo,Меч и Магия,Heroes of the Storm,InFAMOUS,Just Dance,KINGSMAN,Kaspersky,Killzone,Harry Potter,Indiana Jones,Lord of the Rings,юрского периода ,Hobbit,Minecraft,Mad Max,Mafia II,Majesty,Medal of Honor,Metal Gear Solid,XBOX,Миньоны,Mortal Kombat,Sims,NBA 2K,NBA Live ,Need for Speed,NHL,Naruto,ONE DIRECTION,Форсаж,Transformers,One Piece,PlayStation,Payday,Plants vs. Zombies,Pokemon,Portal,Pro Evolution Soccer,Project Cars,QUEEN,Rayman,Tomb Raider,Risen,Saints Row,SimCity,Skylanders,Sleeping Dogs,Sniper Elite,Южный Парк,StarCraft,Stronghold,The Walking Dead,Thief,Titanfall,Tom Clancy,Trials Fusion,Uncharted,WARHAMMER 40000,WATERS ROGER,WINX CLUB,WWE 2K,Warcraft,Watch_Dogs,Wolfenstein,WOT,World of Warcraft,Одни из нас,Adventure Time,Cut the rope,ВНЕ/СЕБЯ ,Inside Out,ЗЕМЛЯ БУДУЩЕГО,Game of Thrones,КНЯZZ,Лига справедливости,Сорвиголова,Хранители,Симпсон,ЛЕВША,Cars 2,Nancy Drew,ОСТАВЛЕННЫЕ ,Очки пиксельные,ПИКОВАЯ ДАМА,РАЗЛОМ САН-АНДРЕАС,Sniper Ghost Warrior,Arma lll,ИгроМир
2013,1,1,45,6,27,5,10,49,8,2,12,26,25,30,4,5,31,29,9,1,44,17,21,1,5,22,7,0,2,1,18,0,6,27,6,13,25,2,5,12,10,19,14,3,22,3,2,3,9,67,54,12,9,0,7,5,16,1,100,2,2,0,16,0,1,2,15,7,8,12,4,9,4,5,14,1,0,2,3,0,30,2,6,1,11,2,10,99,1,1,3,9,4,58,0,14,60,1,1,39,19,28,17,6,4,14,27,4,2,7,21,2,1,24,4,7,8,9,8,1,15,4,21,23,7,18,2,0,1,0,6,8,0,3,0,51,0,3,64,19,0,9,13,0,1,0,5,1,4,3,32,7,16,1,1,1,0,5,0,2,0,2
2013,2,1,35,6,29,5,16,44,6,3,7,21,25,26,4,5,23,25,8,1,40,12,20,1,6,15,7,1,1,1,11,0,8,22,6,11,100,2,5,6,8,12,9,3,100,2,3,6,13,34,45,13,7,0,6,3,12,1,97,1,3,0,14,0,1,1,17,7,4,10,5,10,3,6,12,1,0,4,2,0,33,4,5,1,7,3,5,92,1,1,3,7,6,46,0,10,45,0,1,41,13,33,20,26,3,13,78,1,3,5,20,3,1,24,3,14,6,6,9,1,11,4,19,25,7,20,2,0,1,0,3,6,0,2,0,37,0,2,83,14,0,9,13,0,2,0,7,1,4,3,38,6,11,1,1,1,0,5,0,2,0,1
2013,3,2,34,8,15,5,9,42,7,16,12,22,32,51,4,100,17,20,8,1,51,12,87,1,5,11,7,1,1,1,8,0,6,23,6,10,47,2,5,6,10,14,11,3,30,3,4,4,9,16,40,12,9,0,5,3,12,2,93,1,3,0,13,0,1,2,24,6,5,14,7,17,4,5,9,2,0,2,3,0,28,2,7,1,7,7,4,98,1,1,3,7,6,42,0,10,48,1,1,31,12,34,23,9,5,15,28,3,2,6,20,2,3,26,4,100,6,9,71,1,10,12,16,100,7,33,5,0,2,0,7,8,0,3,0,39,0,3,77,18,0,16,9,0,1,0,18,1,5,3,34,6,5,2,1,1,0,4,0,15,0,1
2013,4,1,37,100,17,4,8,36,6,5,6,28,31,27,4,52,20,27,11,1,32,12,34,1,4,14,6,1,1,0,8,0,12,18,7,10,17,3,7,10,12,10,61,3,15,2,4,5,8,10,40,10,15,0,5,4,20,2,86,1,2,0,11,3,1,1,18,6,4,12,3,10,3,4,10,1,0,2,2,0,27,2,6,1,5,5,3,100,1,1,7,7,4,36,0,12,35,0,1,28,15,26,20,15,5,17,22,3,1,7,21,3,1,26,4,19,6,9,19,1,8,5,16,41,7,14,5,0,1,0,4,8,0,1,0,42,1,4,76,15,0,13,13,0,1,0,16,1,5,7,24,5,5,1,1,0,0,3,0,5,0,1
2013,5,1,30,100,15,3,9,40,5,6,6,24,24,22,5,24,27,28,8,1,35,12,38,1,4,10,8,1,1,0,7,0,7,20,5,9,12,3,14,10,14,10,34,2,15,2,8,4,9,8,45,10,28,0,7,3,13,2,81,1,3,1,11,1,1,1,16,4,4,53,3,9,4,4,9,1,0,3,2,0,29,2,6,2,6,4,2,92,2,1,4,4,5,81,0,13,37,0,1,34,23,29,21,88,6,15,32,8,3,8,21,2,2,22,3,12,7,14,12,1,10,3,17,23,6,9,3,0,0,0,3,7,1,3,0,36,1,7,87,15,1,16,11,0,1,0,20,1,8,3,22,6,4,2,1,1,0,3,0,4,0,1
2013,6,3,33,28,13,4,8,35,5,8,6,27,39,36,4,15,24,23,7,1,31,13,28,2,5,11,9,1,1,1,13,0,44,17,25,16,11,4,25,10,12,9,18,6,9,3,90,6,11,11,38,11,24,0,7,4,17,2,80,1,4,0,10,2,1,2,17,6,5,41,5,9,5,4,9,1,0,6,3,0,25,3,7,1,5,12,4,87,2,0,4,6,9,63,1,90,40,1,1,33,12,27,19,57,5,15,47,7,4,7,22,3,1,25,4,13,6,20,13,1,9,3,18,18,8,17,5,6,2,0,6,6,1,3,0,39,2,4,100,16,6,18,11,0,1,0,28,1,8,3,23,6,5,2,0,1,0,4,0,2,0,1
2013,7,2,35,23,11,4,8,34,5,6,8,31,29,26,4,17,30,21,16,2,33,12,23,3,6,15,8,1,1,1,11,0,19,17,8,12,11,2,13,12,11,13,15,4,11,2,33,5,14,8,34,12,16,1,5,4,16,2,88,1,4,1,17,3,2,1,19,7,5,19,5,8,5,4,12,1,0,3,2,0,27,2,6,1,7,4,3,83,3,1,4,5,6,47,2,95,46,1,0,34,5,29,32,34,7,13,34,27,3,6,21,3,1,25,4,13,8,19,10,2,11,4,18,17,8,20,5,2,1,0,6,10,1,2,1,40,1,4,86,19,5,19,8,0,1,0,11,7,8,9,17,5,5,1,1,1,0,3,0,3,0,3
2013,8,10,35,18,11,5,9,35,5,6,7,31,36,35,3,15,24,23,10,1,36,10,18,2,4,14,10,0,1,0,35,0,26,18,9,17,13,2,9,9,10,12,11,8,15,3,15,8,11,9,47,13,14,1,6,11,21,2,93,2,3,1,12,2,1,1,17,8,4,12,4,8,4,3,9,2,0,3,1,0,26,3,6,1,5,2,2,93,1,1,4,9,7,53,14,31,45,0,1,37,6,34,30,22,6,15,39,84,4,9,22,2,1,27,13,10,9,100,10,1,10,3,19,18,9,8,6,5,2,0,5,8,1,2,0,46,1,3,74,18,2,23,7,0,1,0,10,2,9,3,20,6,7,2,1,0,0,5,0,2,0,5
2013,9,5,98,22,10,4,14,40,4,20,6,22,34,56,2,9,18,19,39,1,28,11,15,2,5,9,7,1,1,1,13,0,8,17,9,13,7,3,7,13,11,8,13,3,7,2,6,5,7,7,54,10,10,0,5,5,17,2,97,1,2,1,13,2,1,1,16,7,4,15,5,7,3,4,9,1,1,2,2,0,26,4,6,1,4,2,3,75,1,1,4,5,4,100,12,19,31,1,1,38,11,32,21,26,6,10,55,36,3,6,19,10,1,24,15,6,6,46,7,1,7,3,21,17,7,9,4,2,4,0,4,9,1,2,0,35,1,3,79,15,2,17,10,0,1,0,7,3,5,2,19,5,4,1,1,1,0,5,0,2,0,69
2013,10,4,72,10,7,4,10,36,4,9,9,20,38,100,1,16,20,29,10,1,28,8,17,2,4,7,6,1,1,1,13,0,4,17,9,11,7,3,7,8,7,8,9,6,9,2,6,4,10,7,31,11,24,0,4,5,13,1,95,2,2,1,11,1,1,1,20,7,6,12,2,7,4,4,8,1,3,2,3,0,27,3,8,1,4,2,2,67,1,1,2,5,3,58,6,16,31,1,1,29,14,47,18,10,4,10,37,20,3,13,19,2,1,22,6,6,7,18,7,1,7,5,26,13,7,16,4,3,1,0,3,8,1,2,0,33,1,3,72,14,2,16,8,0,1,0,6,2,6,4,12,5,4,1,1,1,0,5,0,2,0,30
