,item_id,IP_Group,Search_Key_Word
0,0,Others,Others
1,1,Others,Others
2,2,Others,Others
3,3,Others,Others
4,4,Others,Others
5,5,Others,Others
6,6,Others,Others
7,7,Others,Others
8,8,Others,Others
9,9,Others,Others
10,10,Others,Others
11,11,Others,Others
12,12,Others,Others
13,13,Others,Others
14,14,Others,Others
15,15,Others,Others
16,16,Others,Others
17,17,Others,Others
18,18,Others,Others
19,19,Others,Others
20,20,Others,Others
21,21,Others,Others
22,22,Others,Others
23,23,Others,Others
24,24,Others,Others
25,25,Others,Others
26,26,Others,Others
27,27,Others,Others
28,28,Others,Others
29,29,Others,Others
30,30,Others,Others
31,31,Others,Others
32,32,Others,Others
33,33,Others,Others
34,34,Others,Others
35,35,Others,Others
36,36,Others,Others
37,37,Others,Others
38,38,Others,Others
39,39,Others,Others
40,40,Others,Others
41,41,Others,Others
42,42,Others,Others
43,43,Others,Others
44,44,Others,Others
45,45,Others,Others
46,46,Others,Others
47,47,Others,Others
48,48,Others,Others
49,49,Others,Others
50,50,Others,Others
51,51,Others,Others
52,52,Others,Others
53,53,Others,Others
54,54,Others,Others
55,55,Others,Others
56,56,Others,Others
57,57,Others,Others
58,58,Others,Others
59,59,Others,Others
60,60,Others,Others
61,61,Others,Others
62,62,Others,Others
63,63,Others,Others
64,64,Others,Others
65,65,Others,Others
66,66,Others,Others
67,67,Others,Others
68,68,Others,Others
69,69,Others,Others
70,70,Others,Others
71,71,Others,Others
72,72,Others,Others
73,73,Others,Others
74,74,Others,Others
75,75,Others,Others
76,76,Others,Others
77,77,Others,Others
78,78,Others,Others
79,79,Others,Others
80,80,Others,Others
81,81,Others,Others
82,82,Others,Others
83,83,Others,Others
84,84,Others,Others
85,85,Others,Others
86,86,Others,Others
87,87,Others,Others
88,88,Others,Others
89,89,Others,Others
90,90,Others,Others
91,91,Others,Others
92,92,Others,Others
93,93,Others,Others
94,94,Others,Others
95,95,Others,Others
96,96,Others,Others
97,97,Others,Others
98,98,Others,Others
99,99,Others,Others
100,100,Others,Others
101,101,Others,Others
102,102,Others,Others
103,103,Others,Others
104,104,Others,Others
105,105,Europa Universalis,Europa Universalis
106,106,Others,Others
107,107,Others,Others
108,108,Others,Others
109,109,Others,Others
110,110,Others,Others
111,111,Others,Others
112,112,Others,Others
113,113,Others,Others
114,114,Others,Others
115,115,Others,Others
116,116,Others,Others
117,117,Others,Others
118,118,Others,Others
119,119,Others,Others
120,120,Others,Others
121,121,Others,Others
122,122,Others,Others
123,123,Others,Others
124,124,Others,Others
125,125,Others,Others
126,126,Others,Others
127,127,Others,Others
128,128,Others,Others
129,129,Others,Others
130,130,Others,Others
131,131,Others,Others
132,132,Others,Others
133,133,Others,Others
134,134,Others,Others
135,135,Others,Others
136,136,Others,Others
137,137,Others,Others
138,138,Others,Others
139,139,Others,Others
140,140,Others,Others
141,141,Others,Others
142,142,Others,Others
143,143,Others,Others
144,144,Others,Others
145,145,Others,Others
146,146,Others,Others
147,147,Others,Others
148,148,Others,Others
149,149,Others,Others
150,150,Others,Others
151,151,Others,Others
152,152,Others,Others
153,153,Others,Others
154,154,Others,Others
155,155,Others,Others
156,156,Others,Others
157,157,Others,Others
158,158,Others,Others
159,159,Others,Others
160,160,Others,Others
161,161,Others,Others
162,162,Others,Others
163,163,Others,Others
164,164,Others,Others
165,165,Others,Others
166,166,Others,Others
167,167,Others,Others
168,168,Others,Others
169,169,Others,Others
170,170,Others,Others
171,171,Others,Others
172,172,Others,Others
173,173,Others,Others
174,174,Others,Others
175,175,Others,Others
176,176,Others,Others
177,177,Others,Others
178,178,Others,Others
179,179,Others,Others
180,180,Others,Others
181,181,Others,Others
182,182,Others,Others
183,183,Others,Others
184,184,Others,Others
185,185,Others,Others
186,186,Others,Others
187,187,Others,Others
188,188,Others,Others
189,189,Others,Others
190,190,Others,Others
191,191,Others,Others
192,192,Others,Others
193,193,Others,Others
194,194,Others,Others
195,195,Others,Others
196,196,Others,Others
197,197,Others,Others
198,198,Others,Others
199,199,Others,Others
200,200,Others,Others
201,201,Others,Others
202,202,Others,Others
203,203,Others,Others
204,204,Others,Others
205,205,Others,Others
206,206,Others,Others
207,207,Others,Others
208,208,Others,Others
209,209,Others,Others
210,210,Others,Others
211,211,Others,Others
212,212,Others,Others
213,213,Others,Others
214,214,Others,Others
215,215,Others,Others
216,216,Others,Others
217,217,Others,Others
218,218,Others,Others
219,219,Others,Others
220,220,Others,Others
221,221,Others,Others
222,222,Others,Others
223,223,Others,Others
224,224,Others,Others
225,225,Others,Others
226,226,Others,Others
227,227,Others,Others
228,228,Others,Others
229,229,Others,Others
230,230,Others,Others
231,231,Others,Others
232,232,Others,Others
233,233,Others,Others
234,234,Others,Others
235,235,Others,Others
236,236,Others,Others
237,237,Others,Others
238,238,Others,Others
239,239,Others,Others
240,240,Others,Others
241,241,Others,Others
242,242,Others,Others
243,243,Others,Others
244,244,Others,Others
245,245,Others,Others
246,246,Others,Others
247,247,Others,Others
248,248,Others,Others
249,249,Others,Others
250,250,Others,Others
251,251,Others,Others
252,252,Others,Others
253,253,Others,Others
254,254,Others,Others
255,255,Others,Others
256,256,Others,Others
257,257,Others,Others
258,258,Others,Others
259,259,Others,Others
260,260,Others,Others
261,261,Others,Others
262,262,Others,Others
263,263,Others,Others
264,264,Others,Others
